train_size,observed_hgb,fit_hgb
50.0,0.6262374145210733,0.6434252061528456
51.35277963979166,0.634051434324946,0.6576117621240654
52.742159534660004,0.6420768670667308,0.6711919536033806
54.16912992620265,0.6503194326487879,0.6841916979380174
55.63470784759058,0.6587850057288259,0.6966358047109833
57.13993784843012,0.6674796199069009,0.7085480230893378
58.68589273923647,0.6764094720256947,0.7199510871486954
60.27367435604921,0.6855809265871416,0.730866759260456
61.90441434573511,0.6950005202885484,0.7413158716245744
63.579274972537874,0.7046749666814428,0.7513183660271262
65.29944994644914,0.7146111609564683,0.7608933318985471
67.06616527399218,0.7248161848577394,0.7700590427451826
68.88068013202337,0.735297311730155,0.7788329910236699
70.74428776517541,0.7460620117032719,0.7872319215247153
72.65831640758127,0.757117957015431,0.7952718633299748
74.62413022953561,0.768473027481929,0.8029681604030261
76.64313030976912,0.7801353161111362,0.8103355008728175
78.71675563402823,0.792113134872563,0.817387945065478
80.84648412067163,0.8044150206209812,0.8241389523379836
83.03383367401528,0.8170497411808292,0.830601406764898
85.28036326617641,0.8300263015952339,0.8367876417272024
87.58767404818678,0.843353950544101,0.8427094634501464
89.9574104911687,0.8570421869358548,0.8483781735350391
92.3912615583854,0.8711007666775169,0.8538045905279826
94.89096190900241,0.8855397096279571,0.8589990705667097
97.45829313441727,0.9003693067392665,0.8639715271449306
100.09508502803898,0.9150767378900282,0.8687314500319101
102.80321688942192,0.9158128974913272,0.8732879233833771
105.58461886368387,0.9165689743270318,0.877649643078337
108.44127331716297,0.9173455072697254,0.8818249333148697
111.3752162502938,0.9181430497715092,0.8858217624965864
114.38853874870952,0.9189621702584586,0.8896477584400656
117.48338847360502,0.9198034525357537,0.8933102229322891
120.66197119242159,0.9206674962037695,0.896816145665861
123.92655235094632,0.921554917085425,0.9001722175786057
127.27945868794507,0.9224663476650932,0.9033848436230019
130.72307989348022,0.9234024375393866,0.906460154989823
134.25987031209527,0.924363853880139,0.9094040208093123
137.89235069208073,0.9253512819099141,0.9122220593522243
141.62310998206593,0.926365425390378,0.9149196487521094
145.4548071762202,0.9274070071238859,0.9175019372693033
149.3901732093765,0.9284767694686392,0.9199738531162132
153.43201290342827,0.9295754748677805,0.9223401138626474
157.58320696638847,0.9307039063928034,0.9246052354391424
161.84671404553262,0.9318628683016654,0.926773540755467
166.22557283609225,0.9330531866119994,0.9288491679507527
170.7229042469997,0.9342757096898353,0.9308360782909958
175.34191362522859,0.9355313088542486,0.9327380637290029
180.08589304031497,0.9368208789983691,0.9345587541412077
184.95822363068754,0.9381453392271905,0.93630162425517
189.9623780134801,0.9395056335126373,0.9379700002809795
195.10192275954103,0.9409027313663535,0.9395670662592166
200.3805209354073,0.9422517926567934,0.9410958701375899
205.80193471405244,0.9425025783404938,0.9425593295878432
211.37002805627054,0.9427601491795313,0.943960237574036
217.08876946460487,0.943024688750306,0.9453012676828232
222.96223481178777,0.9432963855959858,0.946584979225907
228.9946102457045,0.9435754333608863,0.9478138221243984
235.19019517295285,0.9438620309284846,0.9489901415844114
241.55340532312485,0.9441563825631681,0.9501161825728114
248.08877589599396,0.9444586980558184,0.9511940941016594
254.80096479385276,0.9447691928733337,0.9522259333295324
261.69475594130074,0.9450880883121969,0.9532136694875409
268.77506269485355,0.9454156116561984,0.9541591876375423
276.0469313447998,0.9457519963384263,0.955064292269719
283.5155447118041,0.9460974821076394,0.9559307107463888
291.1862258408156,0.9464523151991411,0.9567600965986185
299.0644417949203,0.9468167485102769,0.9575540326819331
307.15580755183686,0.94719104178068,0.9583140341971439
315.46609000583476,0.9475754617773935,0.959041551582059
324.0012120779263,0.9479702824850005,0.9597379732795958
332.76725693726286,0.9483757853008999,0.9604046283875787
341.77047233674386,0.9487922592358639,0.9610427891952784
351.01727506592647,0.9492200011200222,0.9616536736115341
360.5142555244132,0.9496593158144202,0.962238447489092
370.2681824189744,0.950110516428299,0.962798226849597
380.28600758775553,0.9505739245422562,0.9633340800134833
390.57487095500306,0.9510498704374428,0.9638470296388282
401.1421056198468,0.9515386933309624,0.964338054673062
411.9952430827606,0.9520407416176384,0.9648080922212562
423.14201861342815,0.9525563731183226,0.965258039334558
434.59037676384,0.953085955334922,0.9656887547221827
446.3484770305499,0.9536298657123256,0.9661010603902319
458.42469967012886,0.9541884919074176,0.966495743210465
470.82765167195606,0.9547622320653691,0.9668735564220179
483.566172892611,0.9553514951034049,0.9672352210689352
496.6493423562326,0.9559567010022473,0.9675814273762589
510.0864847253412,0.956248676691933,0.9679128360672998
523.8871769467281,0.9564360973658721,0.9682300796246069
538.0612550771576,0.9566285888172467,0.9685337634970386
552.6188212937402,0.9568262882389464,0.9688244672552424
567.570251093977,0.9570293365356957,0.9691027456977463
582.9262006906047,0.9572378784244796,0.9693691299097732
598.6976146065119,0.9574520625376873,0.9696241282767997
614.8957334751419,0.9576720415290454,0.9698682274547931
631.5321020519406,0.9578979721824172,0.9701018932989782
648.6185774425546,0.9581300155235468,0.9703255717529065
666.1673375536525,0.958368336934825,0.9705396896995249
684.1908897723886,0.9586131062731613,0.9707446557758673
702.7020798806892,0.9588644979910445,0.970940861152926
721.7141012107264,0.9591226912608789,0.9711286802821869
741.2405040480947,0.9593878701026847,0.9713084716102596
761.2952052893983,0.9596602235152524,0.9714805782629595
781.8924983611287,0.9599399456108471,0.9716453287001531
803.0470634069042,0.9602272357535562,0.971803037342612
824.7739777503303,0.9605222987013807,0.9719540051720754
847.088726640943,0.9608253447521706,0.972098520305663
870.0072142908814,0.9611365898935091,0.9722368585457376
893.545775210172,0.9614562559566514,0.9723692839062646
917.7211858486957,0.9617845707746288,0.9724960491166739
942.5506765531273,0.96212176834463,0.9726173961041855
968.051943847386,0.9624680889947771,0.9727335564555202
994.2431630453359,0.9628237795554113,0.9728447518588746
1021.143001204732,0.9630053019494912,0.9729511945270061
1048.7706304316423,0.963140338645959,0.9730530876022335
1077.1457415448303,0.963279028840299,0.9731506255441282
1106.2885581098321,0.9634214713800617,0.9732439945006328
1136.2198508527415,0.9635677677871772,0.9733333726633193
1166.960952463956,0.963718022330311,0.9734189306074612
1198.5337728024574,0.9638723420991796,0.9735008316175712
1230.9608145114546,0.964030837080875,0.9735792319990237
1264.265189056504,0.9641936202382554,0.9736542813763593
1298.470633197564,0.9643608075904558,0.9737261229788378
1333.6015259067053,0.9645325182955781,0.973794893913786
1369.682905743539,0.9647088747356168,0.9738607254282639
1406.7404887007503,0.9648900026036841,0.9739237431595438
1444.8006865324494,0.9650760309935938,0.9739840673748861
1483.8906255784104,0.9652670924918694,0.9740418132010648
1524.0381660976145,0.9654633232722413,0.9740970908440831
1565.27192212486,0.965664863192701,0.9741500057994985
1607.6212818646202,0.9658718558951805,0.9742006590537569
1651.1164286366652,0.9660844489079303,0.974249147276922
1695.7883623883695,0.9663027937506642,0.9742955630071678
1741.6689217890623,0.9665270460425521,0.9743399948273832
1788.7908069221455,0.966757365613133,0.9743825275342307
1837.1876025911613,0.9669939166162284,0.9744232422999776
1886.8938022564212,0.9672368676469388,0.9744622168274104
1937.9448326192528,0.9674863918618056,0.9744995254981285
1990.3770788713869,0.9677426671022226,0.9745352395144984
2044.2279106274914,0.9678541575357776,0.9745694270355418
2099.535708559306,0.9679347610325438,0.9746021533070143
2156.339891750396,0.9680175453046964,0.9746334807859247
2214.6809457910063,0.9681025693544062,0.9746634692597327
2274.600451633019,0.9681898937801829,0.9746921759604505
2336.1411152256205,0.9682795808200645,0.9747196556738694
2399.346797952769,0.9683716943959761,0.9747459608441151
2464.2625478941663,0.9684663001592887,0.9747711416737371
2530.934631932014,0.9685634655376095,0.9747952462195175
2599.4105687264387,0.9686632597828401,0.9748183204841864
2669.739162583084,0.968765754020533,0.9748404085042162
2741.9705382370216,0.9688710213005848,0.9748615524338643
2816.1561765777346,0.9689791366493005,0.9748817926256226
2892.34895134069,0.9690901771228659,0.9749011677072289
2970.6031667916195,0.969204221862268,0.9749197146553872
3050.9745964303465,0.9693213521496998,0.9749374688663356
3133.5205227417982,0.9694416514664925,0.9749544642233999
3218.2997780224873,0.9695652055526139,0.9749707331616582
3305.372786311585,0.9696921024677778,0.9749863067298421
3394.8016064564604,0.9698224326542053,0.9750012146495926
3486.6499763433876,0.9699562890010858,0.9750154853721822
3580.983358324933,0.9700937669107806,0.9750291461328143
3677.8689858764283,0.9702349643668187,0.9750422230025996
3777.3759115147254,0.970379982003731,0.9750547409383123
3879.575056013454,0.9705289231787758,0.9750667238300198
3984.5392589498265,0.9706818940456032,0.9750781945466753
4092.343330618985,0.9708390036299132,0.9750891749797631
4203.064105352957,0.9710003639071605,0.9750996860850771
4316.78049628217,0.9711660898823624,0.9751097479227151
4433.573551578576,0.9713362996720651,0.975119379695362
4553.526512220464,0.9715111145885279,0.9751285997849379
4676.724871320132,0.9716906592261851,0.9751374257876798
4803.256435056715,0.9718750615504476,0.9751458745477223
4933.211385257571,0.9720644529889058,0.9751539621892452
5066.68234367287,0.9722029321668116,0.9751617041472455
5203.764437989122,0.9722875138050409,0.9751691151969943
5344.555369628794,0.972374383849632,0.9751762094822358
5489.15548338425,0.9724636042147757,0.9751830005421789
5637.66783893571,0.972555238489788,0.9751895013373375
5790.198284304121,0.972649351984431,0.9751957242742646
5946.855531291387,0.9727460117754617,0.97520168122923
6107.751232961657,0.9728452867544383,0.9752073835708854
6273.00006321891,0.9729472476768208,0.975212842181962
6442.719798537598,0.9730519672124005,0.9752180674800387
6617.031401904485,0.9731595199970925,0.9752230694374243
6796.059109031656,0.9732699826861313,0.9752278576001896
6979.930516902031,0.9733834340087038,0.975232441106385
7168.7766747105425,0.9734999548240619,0.9752368287034809
7362.732177265772,0.9736196281791527,0.9752410287650616
7561.935260918655,0.9737425393678073,0.975245049306806
7766.527902086525,0.9738687759915321,0.9752488980017852
7976.655918442856,0.9739984280219445,0.9752525821951066
8192.46907284472,0.9741315878648967,0.9752561089179316
8414.121180072067,0.9742683504263367,0.9752594849008943
8641.770216454885,0.9744088131799487,0.9752627165869467
8875.57843246645,0.9745530762366253,0.975265810143655
9115.712468362743,0.974701242415819,0.9752687714749702
9362.343472950666,0.974853417318823,0.9752716062324951
9615.647225569548,0.9750097094040364,0.9752743198262711
9875.804261372934,0.9751702300642646,0.9752769174351024
10143.0,0.9753350937061113,0.9752794040164395
